rally_uid,actionId,pointId,serverGetPoint
4,10,4,1
9,10,6,1
21,10,6,1
24,10,6,0
26,10,4,1
30,3,9,1
31,10,6,0
35,10,6,0
45,10,5,0
91,12,8,0
93,10,9,0
104,13,9,1
138,10,5,1
141,12,8,0
163,10,6,1
165,10,5,0
177,10,6,0
215,1,9,0
220,1,8,1
230,2,7,1
255,1,9,0
268,6,9,1
287,2,9,0
296,1,5,0
302,10,5,1
316,7,7,1
331,10,9,1
332,2,9,1
363,5,7,0
365,5,9,1
371,7,8,0
385,2,7,1
388,7,9,1
397,1,8,1
422,11,2,0
470,13,8,1
472,10,4,1
489,10,9,0
493,1,9,0
497,1,7,1
499,1,7,0
508,6,9,1
536,12,5,1
543,1,8,1
551,10,4,1
557,10,9,1
576,12,9,0
602,10,5,1
613,10,4,0
617,10,9,1
636,1,9,1
655,1,7,1
659,10,5,1
673,13,9,1
685,10,6,0
700,10,5,0
715,10,4,1
730,1,9,1
737,11,2,1
747,1,9,1
754,1,9,1
771,1,9,1
783,1,9,1
797,1,8,0
805,3,9,0
815,9,9,0
841,7,8,1
843,1,6,0
849,1,7,1
852,13,8,1
856,1,8,1
861,9,7,1
871,9,6,1
894,1,7,0
895,10,9,0
902,11,5,1
915,4,7,0
923,13,8,1
924,4,9,0
942,5,7,1
956,1,9,1
959,10,6,0
963,1,7,0
969,10,5,0
979,1,6,1
982,10,6,0
989,12,6,1
995,10,6,1
996,10,6,1
998,10,6,1
1001,10,6,0
1007,10,6,0
1010,10,6,1
1012,10,6,0
1015,10,6,1
1018,6,8,0
1019,1,8,0
1020,10,6,0
1027,13,7,0
1046,1,4,1
1058,2,4,1
1078,1,5,1
1097,4,9,1
1104,13,8,0
1108,8,8,1
1109,1,9,1
1116,1,7,0
1139,6,9,1
1142,2,7,1
1151,1,8,0
1153,1,9,1
1173,9,6,0
1183,8,8,0
1200,6,6,1
1201,1,8,0
1203,1,8,1
1207,1,4,1
1214,9,6,0
1223,1,8,1
1224,5,6,0
1225,6,6,0
1226,9,5,0
1227,8,5,0
1230,6,6,0
